Uuid,Exchange,TimeStamp,OrderType,Limit,Quantity,QuantityRemaining,Commission,Price,PricePerUnit,IsConditional,Condition,ConditionTarget,ImmediateOrCancel,Closed
1a3bee59-1b5e-443c-8c83-4f88b0c3f250,BTC-THC,10/4/2017 11:27:07 AM,LIMIT_BUY,0.00000371,200.00000000,0.00000000,0.00000185,0.00074200,0.00000371,False,,0.00000000,False,10/4/2017 11:27:07 AM
09700d2c-bd98-4643-99c7-0303eda915fb,BTC-ZEC,10/5/2017 6:14:24 PM,LIMIT_BUY,0.05751928,0.07176697,0.00000000,0.00001031,0.00412798,0.05751922,False,,0.00000000,False,10/5/2017 6:14:38 PM
3f7dad33-1dc4-4e1f-96d0-988ff0840fef,BTC-XRP,10/6/2017 12:03:18 AM,LIMIT_BUY,0.00005529,20.00000000,0.00000000,0.00000276,0.00110580,0.00005529,False,,0.00000000,False,10/6/2017 12:03:18 AM
9be1dd3a-c8db-454f-9a8e-41e3f83a8a4a,BTC-XZC,10/6/2017 12:06:58 AM,LIMIT_BUY,0.00259250,2.00000000,0.00000000,0.00001295,0.00518000,0.00259000,False,,0.00000000,False,10/6/2017 12:06:58 AM
c00a7608-9b78-4f52-95a8-67e09fcdcdb2,BTC-NEO,10/6/2017 12:11:31 AM,LIMIT_BUY,0.00756546,1.00000000,0.00000000,0.00001891,0.00756546,0.00756546,False,,0.00000000,False,10/6/2017 12:12:49 AM
59c860d6-81ea-4fb5-85e7-b10f3ec4f2d6,BTC-BTCD,10/6/2017 12:16:38 AM,LIMIT_BUY,0.02118679,0.10000000,0.00000000,0.00000529,0.00211867,0.0211867,,,,,10/6/2017 12:16:38 AM
baed0f57-d859-41e9-8dbc-71262d3d9ec7,BTC-XVG,10/6/2017 12:23:23 AM,LIMIT_BUY,0.00000146,480.00000000,0.00000000,0.00000175,0.00070080,0.00000146,False,,0.00000000,False,10/6/2017 12:23:23 AM
d2d2e457-336a-4d6c-bf9f-12ef4ef3da9e,BTC-DASH,10/6/2017 12:25:41 AM,LIMIT_BUY,0.07067925,0.00892183,0.00000000,0.00000157,0.00063058,0.07067832,False,,0.00000000,False,10/6/2017 12:25:42 AM
040a0a8d-41a0-4af0-b737-aa0f2c919dc2,BTC-XEL,10/6/2017 12:32:37 AM,LIMIT_BUY,0.00010069,5.00000000,0.00000000,0.00000125,0.00050345,0.00010069,False,,0.00000000,False,10/6/2017 12:32:37 AM
17343e10-66cb-4db1-a560-7ccad9ad1c8c,BTC-DASH,10/6/2017 12:34:21 AM,LIMIT_BUY,0.07067925,0.00705653,0.00000000,0.00000124,0.00049875,0.07067921,False,,0.00000000,False,10/6/2017 12:34:21 AM
70c40329-16c6-4d9c-8b1f-b99c7c4647f3,BTC-ETH,10/6/2017 12:29:56 AM,LIMIT_BUY,0.06807008,0.00833746,0.00000000,0.00000141,0.00056753,0.06806989,False,,0.00000000,False,10/6/2017 3:20:47 AM
d8cfd20d-d018-4f5b-a1a7-57bc03524255,BTC-POT,11/21/2017 6:02:07 AM,LIMIT_BUY,0.00001684,100.80167607,0.00000000,0.00000424,0.00169750,0.00001684,False,,0.00000000,False,11/21/2017 6:03:31 AM
7182f00a-7419-4819-b37e-62b4a23bfff8,BTC-IOP,11/29/2017 2:01:50 AM,LIMIT_BUY,0.00027888,8.63502071,0.00000000,0.00000602,0.00240813,0.00027888,False,,0.00000000,False,11/29/2017 2:01:58 AM
f79d0940-672f-4d87-83fa-63062b1bb829,BTC-DASH,11/30/2017 4:48:47 PM,LIMIT_BUY,0.07935000,0.25141802,0.00000000,0.00004986,0.01995001,0.07934996,False,,0.00000000,False,11/30/2017 4:48:52 PM
abc1568d-f8e2-4e4b-a4bf-88f002528d90,BTC-DASH,12/3/2017 11:05:29 AM,LIMIT_SELL,0.06905081,0.00933607,0.00000000,0.00000162,0.00064866,0.06947891,False,,0.00000000,False,12/3/2017 11:05:29 AM
f0da7e0b-9008-451b-8011-13a786e288f4,BTC-DASH,12/3/2017 11:45:59 AM,LIMIT_BUY,0.06871838,0.50000000,0.00000000,0.00008587,0.03435206,0.06870412,False,,0.00000000,False,12/3/2017 11:46:00 AM
2c9f3003-4941-46f4-a440-c1623d27943f,BTC-IOP,12/3/2017 11:47:39 AM,LIMIT_BUY,0.00044595,125.00000000,0.00000000,0.00013913,0.05565250,0.00044522,False,,0.00000000,False,12/3/2017 11:47:39 AM
d3279ac0-afeb-4a6c-a46a-cf0fb4666840,BTC-XRP,12/3/2017 11:49:33 AM,LIMIT_BUY,0.00002205,2000.00000000,0.00000000,0.00011024,0.04409999,0.00002205,False,,0.00000000,False,12/3/2017 11:49:51 AM
cd8cf09f-f205-44cd-b118-71f403edf9da,BTC-ETH,12/3/2017 11:51:31 AM,LIMIT_BUY,0.04128931,1.00000000,0.00000000,0.00010319,0.04127707,0.04127707,False,,0.00000000,False,12/3/2017 11:51:31 AM
7ce307cf-31f6-4ac3-ae24-6fc908075a93,BTC-LTC,12/3/2017 11:53:29 AM,LIMIT_BUY,0.00882792,5.00000000,0.00000000,0.00011034,0.04413960,0.00882792,False,,0.00000000,False,12/3/2017 11:54:12 AM
cb4dd387-eca4-495d-b843-61438fce191f,BTC-POT,12/3/2017 11:57:15 AM,LIMIT_BUY,0.00003519,200.00000000,0.00000000,0.00001759,0.00703800,0.00003519,False,,0.00000000,False,12/3/2017 11:57:19 AM
0806bfc3-ca1c-450a-80c8-e1400c5b3c3a,BTC-THC,12/3/2017 11:59:41 AM,LIMIT_BUY,0.00000817,1000.00000000,0.00000000,0.00002037,0.00815000,0.00000815,False,,0.00000000,False,12/3/2017 11:59:42 AM
